Date,Region,Diff,AgeComp,RateComp,CFR1,CFR2,Date2
2020-04-20,Baden-Württemberg,-0.029224155488652488,-0.01570314905029553,-0.013521006438356955,0.024674184265208357,0.053898339753860845,2020-11-13
2020-05-01,Bavaria,-0.03229233008331057,-0.017019545108441645,-0.015272784974868924,0.024607498406004784,0.05689982848931535,2020-11-14
2020-05-02,Berlin,-0.021463957251312615,-0.010488498985825467,-0.010975458265487145,0.011336575549220192,0.03280053280053281,2020-10-28
2020-04-21,Brandenburg,-0.031154657462006803,-0.007922643523171983,-0.023232013938834815,0.026100244498777507,0.05725490196078431,2020-11-21
2020-04-13,Bremen,-0.038135699597351004,-0.016968122138953334,-0.02116757745839767,0.015252390751724972,0.053388090349075976,2020-11-15
2020-05-11,Hamburg,-0.031161748778374167,-0.01732742096100814,-0.013834327817366031,0.021660102999091185,0.05282185177746535,2020-11-12
2020-04-26,Hesse,-0.03746472837159848,-0.01978004898820431,-0.01768467938339417,0.019703257556281908,0.05716798592788039,2020-11-08
2020-05-05,Lower Saxony,-0.03454433194070547,-0.019413884709425275,-0.015130447231280184,0.021494224097850578,0.056038556038556044,2020-11-14
2020-04-25,Meckl.-Western Pomerania,-0.019297726226675443,-0.0026645147546563866,-0.016633211472019058,0.010419955794126934,0.029717682020802376,2020-11-03
2020-04-21,North Rhine-Westphalia,-0.03120608716270665,-0.01648873534137889,-0.01471735182132776,0.01803197359495388,0.04923806075766053,2020-11-13
2020-04-29,Rhineland-Palatinate,-0.02092539183780346,-0.010646583851009353,-0.010278807986794111,0.01690794149552987,0.03783333333333333,2020-11-08
2020-04-24,Saarland,-0.038894274578813365,-0.017195777333449343,-0.021698497245364018,0.026760218650567023,0.06565449322938038,2020-11-26
2020-04-30,Saxony,-0.01367459054226285,-0.0031617111186782085,-0.01051287942358464,0.030300039478878802,0.04397463002114165,2020-10-15
2020-03-30,Saxony-Anhalt,-0.020390587908197588,-0.004610575328973392,-0.015780012579224192,0.018444363548113095,0.03883495145631068,2020-11-14
2020-05-02,Schleswig-Holstein,-0.03309974602224069,-0.018892606220133973,-0.014207139802106711,0.019955504618081307,0.053055250640321995,2020-12-02
2020-05-07,Thuringia,-0.03140239520710072,-0.0066291526418879665,-0.02477324256521275,0.03315206023844384,0.06455445544554456,2020-11-10
