Region,Country,Date,Measure,Value,New,Population
All,Germany,2020-05-08,Cases,169532,980,83166711
All,Germany,2020-05-09,Cases,170210,678,83166711
All,Germany,2020-05-10,Cases,170551,341,83166711
All,Germany,2020-05-11,Cases,171239,688,83166711
All,Germany,2020-05-12,Cases,172092,853,83166711
All,Germany,2020-05-13,Cases,173004,912,83166711
All,Germany,2020-05-14,Cases,173814,810,83166711
All,Germany,2020-05-15,Cases,174543,729,83166711
All,Germany,2020-05-16,Cases,175003,460,83166711
All,Germany,2020-05-17,Cases,175319,316,83166711
All,Germany,2020-05-18,Cases,175861,542,83166711
All,Germany,2020-05-19,Cases,176592,731,83166711
All,Germany,2020-05-20,Cases,177424,832,83166711
All,Germany,2020-05-21,Cases,177841,417,83166711
All,Germany,2020-05-22,Cases,178369,528,83166711
All,Germany,2020-05-23,Cases,178707,338,83166711
All,Germany,2020-05-24,Cases,178931,224,83166711
All,Germany,2020-05-25,Cases,179343,412,83166711
All,Germany,2020-05-26,Cases,179959,616,83166711
All,Germany,2020-05-27,Cases,180607,648,83166711
All,Germany,2020-05-28,Cases,181134,527,83166711
All,Germany,2020-05-29,Cases,181582,448,83166711
All,Germany,2020-05-30,Cases,181956,374,83166711
All,Germany,2020-05-31,Cases,182135,179,83166711
All,Germany,2020-06-01,Cases,182272,137,83166711
All,Germany,2020-06-02,Cases,182576,304,83166711
All,Germany,2020-06-03,Cases,183072,496,83166711
All,Germany,2020-06-04,Cases,183600,528,83166711
All,Germany,2020-06-05,Cases,184038,438,83166711
All,Germany,2020-06-06,Cases,184323,285,83166711
All,Germany,2020-06-07,Cases,184487,164,83166711
All,Germany,2020-06-08,Cases,184784,297,83166711
All,Germany,2020-06-09,Cases,185212,428,83166711
All,Germany,2020-06-10,Cases,185730,518,83166711
All,Germany,2020-06-11,Cases,186008,278,83166711
All,Germany,2020-06-12,Cases,186358,350,83166711
All,Germany,2020-06-13,Cases,186657,299,83166711
All,Germany,2020-06-14,Cases,186829,172,83166711
All,Germany,2020-06-15,Cases,187088,259,83166711
All,Germany,2020-06-16,Cases,187629,541,83166711
All,Germany,2020-06-17,Cases,188610,981,83166711
All,Germany,2020-06-18,Cases,189244,634,83166711
All,Germany,2020-06-19,Cases,190176,932,83166711
All,Germany,2020-06-20,Cases,190700,524,83166711
All,Germany,2020-06-21,Cases,190955,255,83166711
All,Germany,2020-06-22,Cases,191439,484,83166711
All,Germany,2020-06-23,Cases,191990,551,83166711
All,Germany,2020-06-24,Cases,192494,504,83166711
All,Germany,2020-06-25,Cases,193065,571,83166711
All,Germany,2020-06-26,Cases,193640,575,83166711
All,Germany,2020-06-27,Cases,193969,329,83166711
All,Germany,2020-06-28,Cases,194168,199,83166711
All,Germany,2020-06-29,Cases,194584,416,83166711
All,Germany,2020-06-30,Cases,195043,459,83166711
All,Germany,2020-07-01,Cases,195527,484,83166711
All,Germany,2020-07-02,Cases,195997,470,83166711
All,Germany,2020-07-03,Cases,196423,426,83166711
All,Germany,2020-07-04,Cases,196715,292,83166711
All,Germany,2020-07-05,Cases,196857,142,83166711
All,Germany,2020-07-06,Cases,197177,320,83166711
All,Germany,2020-07-07,Cases,197568,391,83166711
All,Germany,2020-07-08,Cases,198021,453,83166711
All,Germany,2020-07-09,Cases,198448,427,83166711
All,Germany,2020-07-10,Cases,198875,427,83166711
All,Germany,2020-07-11,Cases,199153,278,83166711
All,Germany,2020-07-12,Cases,199284,131,83166711
All,Germany,2020-07-13,Cases,199608,324,83166711
All,Germany,2020-07-14,Cases,200069,461,83166711
All,Germany,2020-07-15,Cases,200606,537,83166711
All,Germany,2020-07-16,Cases,201163,557,83166711
All,Germany,2020-07-17,Cases,201685,522,83166711
All,Germany,2020-07-18,Cases,202113,428,83166711
All,Germany,2020-07-19,Cases,202300,187,83166711
All,Germany,2020-07-20,Cases,202756,456,83166711
All,Germany,2020-07-21,Cases,203276,520,83166711
All,Germany,2020-07-22,Cases,203974,698,83166711
All,Germany,2020-07-23,Cases,204670,696,83166711
All,Germany,2020-07-24,Cases,205475,805,83166711
All,Germany,2020-07-25,Cases,206018,543,83166711
All,Germany,2020-07-26,Cases,206229,211,83166711
All,Germany,2020-07-27,Cases,206756,527,83166711
All,Germany,2020-07-28,Cases,207512,756,83166711
All,Germany,2020-07-29,Cases,208417,905,83166711
All,Germany,2020-07-30,Cases,209268,851,83166711
All,Germany,2020-07-31,Cases,210189,921,83166711
All,Germany,2020-08-01,Cases,210750,561,83166711
All,Germany,2020-08-02,Cases,211051,301,83166711
All,Germany,2020-08-03,Cases,211849,798,83166711
All,Germany,2020-08-04,Cases,212795,946,83166711
All,Germany,2020-08-05,Cases,213908,1113,83166711
All,Germany,2020-08-06,Cases,215074,1166,83166711
All,Germany,2020-08-07,Cases,216079,1005,83166711
All,Germany,2020-08-08,Cases,216790,711,83166711
All,Germany,2020-08-09,Cases,217109,319,83166711
All,Germany,2020-08-10,Cases,218213,1104,83166711
All,Germany,2020-08-11,Cases,219407,1194,83166711
All,Germany,2020-08-12,Cases,220947,1540,83166711
All,Germany,2020-08-13,Cases,222436,1489,83166711
All,Germany,2020-08-14,Cases,223812,1376,83166711
All,Germany,2020-08-15,Cases,224566,754,83166711
All,Germany,2020-08-16,Cases,225058,492,83166711
All,Germany,2020-08-17,Cases,226607,1549,83166711
All,Germany,2020-08-18,Cases,228143,1536,83166711
All,Germany,2020-08-19,Cases,229895,1752,83166711
All,Germany,2020-08-20,Cases,231516,1621,83166711
All,Germany,2020-08-21,Cases,233170,1654,83166711
All,Germany,2020-08-22,Cases,234084,914,83166711
All,Germany,2020-08-23,Cases,234649,565,83166711
All,Germany,2020-08-24,Cases,236080,1431,83166711
All,Germany,2020-08-25,Cases,237558,1478,83166711
All,Germany,2020-08-26,Cases,239171,1613,83166711
All,Germany,2020-08-27,Cases,240712,1541,83166711
All,Germany,2020-08-28,Cases,242101,1389,83166711
All,Germany,2020-08-29,Cases,242933,832,83166711
All,Germany,2020-08-30,Cases,243470,537,83166711
All,Germany,2020-08-31,Cases,244654,1184,83166711
All,Germany,2020-09-01,Cases,245974,1320,83166711
All,Germany,2020-09-02,Cases,247391,1417,83166711
All,Germany,2020-09-03,Cases,248910,1519,83166711
All,Germany,2020-09-04,Cases,250402,1492,83166711
All,Germany,2020-09-05,Cases,251509,1107,83166711
All,Germany,2020-09-06,Cases,252087,578,83166711
All,Germany,2020-09-07,Cases,253498,1411,83166711
All,Germany,2020-09-08,Cases,254880,1382,83166711
All,Germany,2020-09-09,Cases,256633,1753,83166711
All,Germany,2020-09-10,Cases,258226,1593,83166711
All,Germany,2020-09-11,Cases,259877,1651,83166711
All,Germany,2020-09-12,Cases,261101,1224,83166711
All,Germany,2020-09-13,Cases,261860,759,83166711
All,Germany,2020-09-14,Cases,263342,1482,83166711
All,Germany,2020-09-15,Cases,265347,2005,83166711
All,Germany,2020-09-16,Cases,267544,2197,83166711
All,Germany,2020-09-17,Cases,269898,2354,83166711
All,Germany,2020-09-18,Cases,272070,2172,83166711
All,Germany,2020-09-19,Cases,273466,1396,83166711
All,Germany,2020-09-20,Cases,274156,690,83166711
All,Germany,2020-09-21,Cases,275812,1656,83166711
All,Germany,2020-09-22,Cases,277625,1813,83166711
All,Germany,2020-09-23,Cases,279831,2206,83166711
All,Germany,2020-09-24,Cases,282227,2396,83166711
All,Germany,2020-09-25,Cases,284555,2328,83166711
All,Germany,2020-09-26,Cases,286343,1788,83166711
All,Germany,2020-09-27,Cases,287218,875,83166711
All,Germany,2020-09-28,Cases,289039,1821,83166711
All,Germany,2020-09-29,Cases,291209,2170,83166711
All,Germany,2020-09-30,Cases,293942,2733,83166711
All,Germany,2020-10-01,Cases,296869,2927,83166711
All,Germany,2020-10-02,Cases,299788,2919,83166711
All,Germany,2020-10-03,Cases,301998,2210,83166711
All,Germany,2020-10-04,Cases,303151,1153,83166711
All,Germany,2020-10-05,Cases,305561,2410,83166711
All,Germany,2020-10-06,Cases,309147,3586,83166711
All,Germany,2020-10-07,Cases,313638,4491,83166711
All,Germany,2020-10-08,Cases,318315,4677,83166711
All,Germany,2020-10-09,Cases,323370,5055,83166711
All,Germany,2020-10-10,Cases,327005,3635,83166711
All,Germany,2020-10-11,Cases,329281,2276,83166711
All,Germany,2020-10-12,Cases,333470,4189,83166711
All,Germany,2020-10-13,Cases,338843,5373,83166711
All,Germany,2020-10-14,Cases,346093,7250,83166711
All,Germany,2020-10-15,Cases,354016,7923,83166711
All,Germany,2020-10-16,Cases,361987,7971,83166711
All,Germany,2020-10-17,Cases,367686,5699,83166711
All,Germany,2020-10-18,Cases,371369,3683,83166711
All,Germany,2020-10-19,Cases,377841,6472,83166711
All,Germany,2020-10-20,Cases,387286,9445,83166711
All,Germany,2020-10-21,Cases,399686,12400,83166711
All,Germany,2020-10-22,Cases,413583,13897,83166711
All,Germany,2020-10-23,Cases,427623,14040,83166711
All,Germany,2020-10-24,Cases,438729,11106,83166711
All,Germany,2020-10-25,Cases,446200,7471,83166711
All,Germany,2020-10-26,Cases,458228,12028,83166711
All,Germany,2020-10-27,Cases,474198,15970,83166711
All,Germany,2020-10-28,Cases,493457,19259,83166711
All,Germany,2020-10-29,Cases,513315,19858,83166711
All,Germany,2020-10-30,Cases,532735,19420,83166711
All,Germany,2020-10-31,Cases,546761,14026,83166711
All,Germany,2020-11-01,Cases,557299,10538,83166711
All,Germany,2020-11-02,Cases,572555,15256,83166711
All,Germany,2020-11-03,Cases,591905,19350,83166711
All,Germany,2020-11-04,Cases,613133,21228,83166711
All,Germany,2020-11-05,Cases,635417,22284,83166711
All,Germany,2020-11-06,Cases,657002,21585,83166711
All,Germany,2020-11-07,Cases,672940,15938,83166711
All,Germany,2020-11-08,Cases,683116,10176,83166711
All,Germany,2020-11-09,Cases,699082,15966,83166711
All,Germany,2020-11-10,Cases,718707,19625,83166711
All,Germany,2020-11-11,Cases,741410,22703,83166711
All,Germany,2020-11-12,Cases,764924,23514,83166711
All,Germany,2020-11-13,Cases,786302,21378,83166711
All,Germany,2020-11-14,Cases,802110,15808,83166711
All,Germany,2020-11-15,Cases,810980,8870,83166711
All,Germany,2020-11-16,Cases,825688,14708,83166711
All,Germany,2020-11-17,Cases,846042,20354,83166711
All,Germany,2020-11-18,Cases,869748,23706,83166711
